0,0,0,0,0
0.20837,0.97522,1.4615,-0.53969,0.27151
0.38246,1.1606,0.31756,-0.014677,0.14314
0.52677,0.96965,-0.5485,-0.09008,0.29306
0.64506,0.62658,-0.78229,-0.29951,0.52787
0.74038,0.2509,-0.58468,-0.27058,0.71674
0.81521,-0.095187,-0.19073,0.051339,0.84037
0.87149,-0.38049,0.23351,0.54511,0.9196
0.91069,-0.59016,0.588,1.0438,0.9728
0.9338,-0.71763,0.81805,1.404,1.0059
0.94144,-0.76033,0.89731,1.5344,1.0174
0.9338,-0.71763,0.81805,1.404,1.0059
0.91069,-0.59016,0.588,1.0438,0.9728
0.87149,-0.38049,0.23351,0.54511,0.9196
0.81521,-0.095187,-0.19073,0.051339,0.84037
0.74038,0.2509,-0.58468,-0.27058,0.71674
0.64506,0.62658,-0.78229,-0.29951,0.52787
0.52677,0.96965,-0.5485,-0.09008,0.29306
0.38246,1.1606,0.31756,-0.014677,0.14314
0.20837,0.97522,1.4615,-0.53969,0.27151
0,0,0,0,0
